count,unique,top,freq
9,9,"Hello, and thank you for your question. This is a very serious time. I don't mean to frighten you, but you are right to be concerned. The time right after people leave the hospital after receiving psychiatric services is a time of high risk for suicide. It is very important, after hospitalization, to get follow-up care with a professional as soon as possible. If your husband has an established therapist, this is the time to call. It is also a good time to alert your support system of friends, family, clergy or others to let them know he is still struggling. This is good support for him AND you.It is important to think about means and opportunity to make another attempt. Means really do matter.  So, if you have a firearm in the home, it is really important to remove it. You can't remove all things that a person may hurt themselves with, but some things are more lethal than others. Firearms are very lethal. I am not sure what means he used last time, but try to reduce the opportunity for him to access it again. This is where your support system can help out. People can take turns hanging out with him until you are sure the crisis is over.If you believe that an attempt is going to occur, talk to your husband about going back to the hospital. If he refuses, you will want to find out what your options are to have him go even if he doesn't want to. I know the thought of that really hurts, but it can save his life. Calling 9-1-1 is always a good option if you are not sure. Usually a suicide crisis, meaning they want to harm themselves right now, lasts a few minutes, hours or days. Sometimes when you get them through the crisis stage, they no longer want to commit suicide. But, as you are indicating, that feeling of wanting to commit suicide can come back again. So, it is always good to have a plan. If you want more information, call the National Suicide Prevention Lifeline. They will always answer: 1-800-273-8255. They can help you create a specific safety plan. I do hope things work out alright. Be well. Robin J. Landwehr, DBH, LPCC, NCC",1
1,1,"If you mean “hooked up” as having sex with no care for the person, and you’d like a girlfriend, then realize relationships require more complex alignment with a partner than being a sex buddy.Pay attention to all your feelings toward a girl so that you’ll approach someone who attracts you for reasons in addition to sexual allure.Also, the process of knowing someone takes much more time than only to sleep with someone.Have patience and kindness toward yourself while you get to know the qualities which attract you to a potential girlfriend.",1
1,1,"Have you tried to talk about the subjects of the past, in the present at a time in which there is no heat between the two of you?Since your gf would like to resolve situations from the past the best way to do so would be to talk about them.  The more you try to avoid certain subjects the more likely they will come up between you at worse possible moments.If you can get ahead of the pattern of old topics coming up without your control, then try scheduling a discussion about them.  This by itself will show your gf you care about what she cares about and this may be one quality she would feel good about.",1
1,1,"If you thing your trust issues are going to end or affect your relationship it will because you are being baggage from your parents into this relationship.  Don't allow their problems to become your problem.  You didn't mention that your partner in your present relationship have done anything to make you not trust them.  Like in the court of law, if no evidence....find not guilty.  Don't make them pay the consequences as if guilty of your parents unhealthy behavior.",1
1,1,"As silly as it may sound, making sure that we are getting the right amount of *restful* sleep is very important when we are feeling low.  The reason for this is the lack of proper sleep significantly affects our ability to problem solve and critically evaluate our situation and can lead to a domino effect in our thinking.  I know you feel that you may be losing your friendships, but what are the facts that have led to this belief? Really ask yourself, ""are they facts?"" or are they your perspective on events.  In regards to your coping behaviours at night, it sounds very isolating and also very silenced.  As opposed to the sad music, why not try all music, allowing yourself to experience the wide breadth of emotions that are circling within you.  One of the other recommendations I would make would be to try and journal about some of those thoughts and fears in order to release them in a positively cathartic way. Some of the behaviours that you have mentioned are a bit more significant, though and I would recommend speaking with someone directly in the near future.",1
1,1,"Writing about your high school masturbation times with your friend, is itself a form of acknowledging the full picture of who you are.   You are doing well to reflect on your actions in the truthful way you are doing.Also positive is that you have perspective, that at your age and social maturity, you were innocently doing something that in adult terms, would be considered in a negative way.Maybe through your more mature mind's eye of today, you can feel some compassion and understanding for your high school self.  This way your sense of self-judgment may start to dissolve a little bit more.",1
1,1,"Hello, and thank you for your question. First, I want to tell you how sorry I am for the experience you had with your parents. That is a grief and trauma that is certainly hard to imagine. Trauma and grief can affect us in many ways, and certainly deeply personal things like our sex lives. It may be difficult for others to make the connection, but it is there. So, for example, if stress and trauma make you feel like you are not interested in sex, a partner may take it as a personal rejection rather than response to stress, trauma or grief. If your husband will agree to it, couple's counseling may be your best bet. A counselor can help you with your communication and may be able to provide some education to your husband about trauma and how it can have an impact on intimacy. If he doesn't agree to go, it may be worth it to go on your own. You still have a lot you are dealing with yourself. And sometimes our personally therapy can influence others, so it may be a good idea. It is important to remember that even though you are married you have the right to make decisions about your body, and that includes when you want to have sex with it. I hope this is helpful, and some of my colleagues may have ideas, also. Be well.Robin J. Landwehr, DBH, LPC, NCC",1
20,20,"You are asking a room full of counselors, and so I am going to guess that we may be a bit biased :). My answer is this: sometimes. Many people benefit from counseling and when counseling works those benefits can show up through positive improvements in your moods, making more choices that align with your values, working through stuff, and a general improved sense of self. Sometimes, for a variety of reasons, a counselor, the approach they are using and the person do not match up and when that happens sometimes counseling does not help. It is very important to find the right counselor for you. Ideally this should be someone you feel a level of trust and connection with who is also using a style that you feel confident in. Research has shown that these aspects (what is called the 'therapeutic alliance') along with shared goals between the client and counselor give counseling the best chance at being effective",1
1,1,Attention is often something that is both wanted and sometimes not wanted all the time. Maybe when you're in a relationship with someone you can discuss the amount of attention that you are both comfortable with and/or what you are both looking for as far as amount of connection.,1
1,1,"Hi Bend, You're scared, right? That makes sense. Each time we have a break-up we are a bit more in touch with how much is at stake in this whole love and relationship business. We are falling in love and letting someone close to our hearts and there's a vulnerability in that; we can get hurt. Who you partner with long-term is a big decision and it determines 90% of our happiness in life. The good news is that when we're just starting to get to know someone, we can take it slow. I think maybe you are slowing yourself down instinctively here, and that's okay. We are naturally people of attachment and it won't likely last if you are normally an open and accessible person who doesn't put up walls. So part of what I want to say here is don't pressure yourself too much. Take the time to heal naturally and listen to your instinct that is telling you to take things slow. :)As well, there are a few things you can do to make sure that the walls do eventually come down, or will come down for the right person. First, think about the lessons you learned from this past relationship. What do you feel proud of? What do you need in a partner? What mistakes did you make? Use this experience to grow in your awareness of how you work in a relationship and what you need from a partner.Look at your thoughts. Are you having generalized negative thoughts like ""No one will ever love me again?"", or ""I'm going to get hurt again"", or ""I can't trust myself""? If so, write down what these thoughts are, and then ask yourself what evidence supports these thoughts. Fear tries to convince us that there is either something wrong with us or that something bad will happen, but it does so with little or no evidence of this ever happening!! It sells us a line based on no concrete evidence. Then ask yourself what evidence supports the opposite thought. What is the evidence that I am lovable... that there are safe, good people out there... that I can trust myself? Eliminate the negative thoughts, and add the positive ones. It's simple but very powerful.Lastly, take concrete and careful steps to act as though there are no walls. What is the evidence of the walls? Can you take purposeful baby steps in the direction of lowering those walls? When we act as though something is true, we start to feel it and believe it more.I hope you will find yourself back on track eventually, with time. :)",1
1,1,"I think your own awareness will not allow you to continue in a bad relationship.Be glad something within you is telling you that there are better ways to be treated than how your husband does.For support and guidance in real time, look up the organizations in your area which help women to leave abusive relationships.You are not the first or only one and probably not the last woman who wants to leave an abusive partner.  Having guidance particular to you and your situation will help you move through what decisions to make as to how to leave this man.",1
1,1,"If you're in a relationship and you're having strong thoughts about someone else, it's important to pay attention to that. Although you say you're happy, I'd suggest looking really carefully at the relationship you have and whether you're getting everything you need. Is there a physical connection with your ex that you don't have with your current boyfriend? It could be that your boyfriend is marvelous in many areas, but that you just don't feel excited about him for some reason. That's a pretty important element to be missing.It may be that, even if you are happy with your current boyfriend, you still hold something special for your ex. If you feel the need to see what is possible there, I think you have to tell your boyfriend about that and end it with him first. You can't have everything.If you truly feel that you want to be with your current boyfriend, you will do well to stop thinking about and focusing on your ex, because thoughts of him will interfere with the growth of your current relationship. The grass isn't greener... A therapist can help you to focus your energies and thoughts on the present, rather than an imagined version of the past or future.",1
1,1,"Hi, Newark. It sounds to me like your husband is going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. He's changed. It's unfair for him to blame you for his emotions. His mood issues are about him, not you, and he's either not recognising that or not taking responsibility for it. Are you respecting yourself here by drawing appropriate boundaries? You can let him know when you feel disrespected, and what's not okay with you.He may be experiencing depression, which often shows up as irritability in men. It could be that he's not telling you something, or he's unaware of his emotional processes. You can try a ""I'm really worried about you. You don't seem happy and I don't know how to help you. Some things are happening that aren't okay with me. Will you see a therapist?"" approach. Perhaps you could go with him the first time?  It's about a combination of compassion, self-respect and seeking professional help, I believe. I wish you well.",1
15,15,"Cold climate is often accompanied by grey skies, snow and
ice. The elements along with wind, windchill and severely cold temperatures may
lead to feelings of sadness, anxiety, and low energy. For some people these
symptoms occur each year from late fall to early spring and may be suffering
from a condition known as Seasonal Affective Disorder (SAD). Whether you have
been diagnosed with SAD or are finding yourself struggling with the “winter
blues” for the first time here are some suggestions for feeling better and
staying healthy.1. Nutrition Most likely you have
heard the term “comfort food.” These foods and snacks are high in
carbohydrates, sugar and fat. Avoid overeating cookies, cakes and candy. Chose
vegetables, fruit and protein for snacks and plan balanced meals. If you find
yourself wanting to eat or snack throughout the day, ask yourself why you are
eating. Are you hungry? Or Are you eating because you are bored?2. AlcoholKeep in mind that alcohol is a depressant so consuming wine,
beer or liquor when already feeling sad, anxious or depressed will only add to
your symptoms. Do not consume alcohol while engaging in outdoor activities such
as snow removal, skiing, or ice fishing. If you find yourself reaching for an
additional glass of wine or beer be mindful and ask whether you are doing it
due to boredom. Instead of mindlessly taking another glass of alcohol, drink a
glass of water. 3. SunlightGet
out in the sunlight or brightly lit spaces, especially early in the day.4. Be activeIf you are unable to go to your favorite gym, exercise class
or go for a run, find a way to stay active in your home. There are a lot of
short, instructional programs available on YouTube that you can follow to do
some gently yoga, dance, or do strengthening exercises using only your body
weight.5.  Reach out for help
Confide in someone you trust about how you are feeling. Do
not hesitate to contact a counselor if you feel that you are becoming more
depressed and anxious. If you experience thoughts of suicide call the National
Suicide Prevention Lifeline at 1-800-273-8255.",1
1,1,"There are some struggles that are less ""obvious"" than others, an eating disorder being one of them. From just your personal experience alone you might realize how easy it may seem to keep such a secret from those around you. In the same way, there are many people who struggle secretly with this problem and not many people know or even notice. So you are definitely not alone. Low self-esteem or lack of confidence in some areas are issues that EVERY teen, in fact EVERY person, has experienced at some point. These feelings are ""normal."" It sounds, though, as if these feelings of insecurity and inadequacy have begun to consume your every day thoughts and behaviors bringing you to where you are today - comparing yourself to others, purging, and feeling extreme guilt. Sometimes it's best if we seek outside help, instead of trying to tackle problems on our own. Breaking habits that come along with an eating disorder really requires the help of a doctor, nutritionist, and a therapist who can help change your perspective from the inside out! Hope this helps!",1
1,1,"Anger often comes with a lot of other emotions. Consider what else you may be feeling at the same time and keep track of your different mood changes. You may be able to notice patterns, such as being more frustrated when you don't sleep well. If you do feel as though you are mad all the time, can you think of any exceptions so you can see what is different in those times?",1
1,1,"Hi! I'm Amelia. Oh, that is so frustrating! Have you ever heard of social anxiety? Sounds like you may be suffering from it. Here is a link to a quiz... https://www.psycom.net/social-anxiety-test/.Besides being a therapist, I am a Mom to 10 kids. A couple of my kids are very uncomfortable with crowds and become very anxious. Find yourself a therapist who can assess you and spend time with you to address these issues and to help you learn tools to help you navigate these emotions.I am wishing you the best!",1
1,1,"One of the greatest ways that we can promote ourselves s by learning how to assert ourselves.  Despite what most people think of when they hear the word assertive, assertive communication is one of the best ways to manage interpersonal conflict as well as maintain personal boundaries.  Once we become comfortable with acknowledging our boundaries, there is usually a follow-up whereby we realize that we have the right to those boundaries.  In effect, assertiveness communication becomes it's own self-motivating force in managing positive self-esteem. You may want to invest in a workbook that can help you to develop these skills on your own, or work directly with a therapist to develop them in a safe situation.   One of the Workbooks that I have found to be very helpful is, ""The Assertiveness Workbook: How to Express your Ideas and Stand Up for Yourself at Work and in Relationships"" by Randy J Paterson.",1
1,1,"Ask her to consider your feelings not only her own defensiveness that she is called a whore by you.Clearly since you're writing on a site which offers psychological and emotional support and guidance, you do not consider your gf to be a whore.She may not realize or considered that you are somewhat protective of who sees her body.   In the end she may not want the privacy over her body which you are encouraging her to have.At least you will have the satisfaction to know you stated your actual reasons for your request, and did not rely on the ones she imagined you have.",1
6,6,It's important to take a look inside and find out why you are experiencing these feelings. It could anything and it will change your life to know what your particular issue or trigger is. Please contact us a call with the method that is most comfortable for you.,1
2,2,Check out my latest blog on:  Four-ways-add-self-esteem-friends-listI hope this provides a few nuggets of helpfulness to you!,1
1,1,"Would you have the same desire to meet this friend if she were a he? If you are concerned that their friendship is a substitute for you when you aren't present, talk to him. It sounds like you are concerned that he is building an emotional intimacy with her and spending time doing the sort of things with her that you'd otherwise be doing with him. Help him understand why this bothers you but try to also be open to allowing him to make friends. Is the issue that he hasn't introduced you? Is there another reason you don't trust their friendship?",1
2,2,"The behaviors you describe are boundary violations.  You can not change your spouse, but you can respond to his behaviors in ways that protect your boundaries and ensure your safety.  This is very hard to do without support.  Finding a therapist who understands the dynamics of abusive relationships may be helpful.  If you are not ready to do this, I recommend the book ""Boundaries"" by Dr. Henry Cloud and Dr. John Townsend.  It's a great resource for helping one recognize boundary violations and learning how to respond to them in ways that are constructive!",1
1,1,"Cheating is often a sign that something is amiss in the relationship. His fear may be full of information. While it's possible to repair relationships after a betrayal it's also challenging to do, especially so early in your relationship. I can't tell you if you should/shouldn't give this relationship a second chance but I will tell you to tune into your own intuition (and follow your own fears in doing so, they often are incredibly informative when we don't push them away with denial).",1
3,3,"From what you write, you're not too happy with how your boyfriend treats you and how he handles his own life.What keeps you feeling connected to him in positive ways?If you're truly not happy most of the time in this relationship, then you're at the time of asking why you'd want to remain in a relationship which is draining.",1
2,2,"Congrats on the birth of your son!Your situation sounds painful, lonely, and isolating.And, these features are eating away at your self-confidence.Start by believing in yourself.  The feelings and ideas you describe here would only be arising from within you because they are at the very least, partly true.Ask your boyfriend if he is willing to listen and understand your point of view.  If he does, then hopefully the two of you will more easily talk with one another about the truth of feeling overwhelmed by the quick pace of your courtship and becoming a family.If these discussions continuously include him blaming you for having your own feelings and expecting him to more actively be a part of your and your son's life, then you'll need to start valuing your feelings and what is best for you and your son, by yourself.I send you lots of good luck!",1
6,6,"I'm sorry for the hurt you're feeling from your husband's decision.Keep in mind that if one partner does not want to be in a relationship and remains in it, then both people will be unhappy, dissatisfied and feel stressed.Imagine being in a relationship that you'd rather leave.All the negative feelings and resentment of being with someone whom you'd rather be without, would not leave very much energy to satisfy your partner.I'm glad you realize that you feel depressed.Depression is a mood that can change once you understand what is causing it.Depression is an area that very often therapists help their patients understand, and emotionally support and encourage them during the course this takes.For now, concentrate on decreasing the tension in your life.  Your husband's indecision may very well be adding to your stress.Only he can make up his own mind.As hard as this may be, all you really can do is take care of how you feel so that you will feel better.From what you write, your husband is too unsure to offer you the love and care you'd like from him.Learning to love oneself is always worthwhile.   At this stage in your marriage, now sounds like an ideal opportunity for you to teach yourself self-love.",1
1,1,"Your boyfriend and you have a separate relationship than your relationship with your mother.   By trying to control whether or not you visit your mom, unless you are in agreement with this, is building tension between you and him.Ask why he resents your interest to see your mother.If he is insecure to the point where he fears your mother will influence your opinion about him, then trying to prevent you from visiting your mom is itself creating negativity in you toward him.If something still bothers him about the problems you both had several months ago, then talking about these problems will do more to clear the air between the two of you than him trying to interfere in your relationship with your mother.",1
1,1,Have you asked your boyfriend directly this question?It is a good question and possibly would open a necessary clarifying discussion as to what each of you expects from the other.,1
1,1,"I'm willing to bet that this isn't what you are hoping to hear, but I'd suggest giving him space. Ooph, that's a tough one, right?! I know. But here's the thing, when you keep trying to process and talk it out with him you keep pushing him away. He needs to feel like a solid and whole person (as you do too) to be able to be fully in your relationship. It's the work of being in relationship to learn this. I get that this is tough stuff. I wonder, outside of being with him, how do you soothe and calm yourself? That's the stuff for you to tune into and focus on right now.",1
1,1,"Well yes, physical intimacy does give all sorts of positive feelings.  The sudden withdrawal of these is certainly possible to trigger a reaction like the one you describe.",1
1,1,Your doubts about your dating partner need to be addressed and solved so you can fully believe him again.Otherwise how would you actually know whether he's lying to you now or not?Start the conversation with him about wanting to trust him and asking for whatever details you feel will give you confidence he is telling you the truth.If he really wants to clear your doubts then he will be willing to invest in answering your extra questions or wanting to look through his phone or whatever areas you felt were violated by him in the past.,1
3,3,"One thing that comes to mind is making a list of some things that happen each day. It could be that there are things that are affecting how upset you are, but because so many other things are going on, you may not notice.Another idea to try is to keep a list for a month of one good thing that happened each day. This way, when you're having a rough day, you have a list to think of and take a look at.Are you eating and sleeping in ways that are typical for you (typically at least two meals per day and roughly 8 hours of sleep that night (may be different depending on your age)? These two ideas are closely related to changes in your mood.From where do you have support? Friends or family?Can you take 5 or 10 minutes per day to do something that you enjoy?If you think back to the last time that you felt ""content,"" what was contributing to that?Another possibility is to try to be mindful of things that you do every day. For example, rather than eating a turkey sandwich as fast as possible on your lunch break, consider actually tasting it and enjoying it. Also consider giving yourself praise for doing something well. For example, when you finish your paperwork, take a moment to notice that and maybe reward yourself by checking your e-mail, reading five pages of a book, or something else that can be done quickly before you get back to your next task.",1
1,1,"Hi Texas,Oh, that's a powerful idea, isn't it? It burrows into your head. Let's figure this out. First, has your partner given you any concrete reason not to trust them? Have they cheated before? If not, then they deserve the benefit of the doubt until there is evidence. If it's a ""yes"", then it's natural that these fears would be triggered and you can simply let your partner know what triggers the fear and what you need. ""When you refuse to let me see your phone I worry that you're hiding something. I need openness"". If they haven't cheated on you in the past, there are three possible scenarios here. I invite you to take a moment and write down what the evidence is that cheating is going on. What is the specific thing that's triggering your fears? When you have your data recorded, read on...The first scenario is that you have been personally hurt in the past by someone else and you've developed fears that you will be hurt again or that you're not enough to keep someone interested (this is just fear...people cheat for their own reasons, not because we're not interesting). This may be true if what you wrote down is ""They didn't really do anything wrong...there is no evidence. I'm just scared and suspicious"". That's a cue to do some self reflection and calm yourself with thoughts like ""nothing has really happened. I can trust.""If what you wrote down was vague evidence, like for example your partner has been distant or irritable, or you're having less sex than usual, you can try to approach the situation without making assumptions. Trust your gut, but your gut isn't seeing evidence of cheating...it's evidence of ""something"". Ask your partner what's up with accusations or assumptions.The third possibility is that there is some clear evidence that they are cheating. Maybe there are texts on a phone, or someone has told you something they saw. I'd say when there is some evidence, it's okay to present this to your partner and ask what's going on. If this happens repeatedly, and your gut is screaming and there are only excuses or explanations that don't make sense, then it's okay to do a bit of ""research"" and be extra aware of what's going on around you. I hope that helps.",1
2,2,"Hello. So, someone made you happy but is no longer around? I am sure that feels devastating. As a counselor I usually have to ponder this kind of thought because it lends itself to suggesting that happiness comes from the external, rather than the internal side of a person's life. Happiness is formed within ourselves. All the external trappings of happiness are usually quite fleeting, and temporary. Even relationships fo not last forever. If we get to a place where we are reliant and dependent on those around us to create happiness in our lives, then we lose the opportunities for us to do it ourselves. We are entirely capable of finding ways to be happy. Sometimes this entails working out issues that are holding us back from reaching a place of peace, or resolution to a specific problem.What I would offer to you, is to find ways in which you can develop happiness for yourself. What do you like about your life as it is right now? What can you do to create change in your life to increase your happiness? These kinds of questions can be valuable to you as you seek out ways to make happiness an internal rather than an external event. Mourning the loss of a social connection (in whatever way that occurred), is part of the grieving process, but it is not permanent. It is a path to healing and moving forward. From this, you can seek out new sources of happiness. I encourage you to remember that happiness is independent of the external experience you have in the world. Happiness is an expression of the internal feelings, so that will be the source or the font of positive emotion from which you really draw. If you are lacking in happiness, then it becomes important to examine why that is, and what you can do about it to promote self-care. Seeking out a professional counselor can also be a good option as you move through the grief/loss process and examine the reasons happiness is not in greater supply.I wish you happiness for every day of your life.Best wishes.",1
1,1,"The thoughts you are having are just thoughts.  Not actions.  It is your choice whether you act on these thoughts.  If you decide to explore having sex with adults of different genders that is great.  If you find yourself obsessed with sexual thoughts, you may want to see a cognitive-behavioural therapist.  Take care.",1
41,41,"The most important part of therapy is finding a therapist who is the right fit and you feel you can connect to. Feeling comfortable with your therapist and feeling that you can be vulnerable is what will assist in helping you find what you want out of therapy. It also sounds like discussing with a potential therapist your expectations for therapy. Also, I would read up on what the therapy process is like so that you are aware of the role the therapist is supposed to play in your life. As long as a therapist is ethical and not breaking any ethical practices, find someone you connect with and can share with.",1
20,20,For most:  When the money/insurance runs out.When best:  When the job is done... and you're feeling much better.,1
22,22,"I'd recommend looking on psychologtoday.com, reading the bio's of potential therapists who you think you would relate best with, then contact them through e-mail or on the phone.",1
1,1,"Some people simply talk to themselves as a way of processing information. Have you checked in with your husband about this in a non-accusatory way? Something like ""Hey babe (or whatever sweet name you typically use), I'm so curious what that's all about? Do you notice that you are talking out loud?"" Chances are it's just how he thinks things through and is not at all about trying to make you crazy, it's just one of his quirks you'll grow to endear. Early married life is a time full of discovering one another's quirks!",1
